STT,Title,Company,Category,Location,State,Hourly_Wage,Annual_Wage,Physical_Demand,English_Requirement,PERM_Success_Rate,SOC_Code,Duties
63,Poultry Processing Line Worker,Mountaire Farms of Delaware,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Millsboro, DE",DE,$18.27/h,"$38,001/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
64,Housekeeping Associate,Hyatt Place Management,Dọn phòng khách sạn (Housekeeping),"Tampa, FL",FL,$16.22/h,"$33,737/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
65,Hand Packer & Material Sorter,Valley Produce Packaging,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fresno, CA",CA,$18.68/h,"$38,854/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
66,Evisceration Line Worker,House of Raeford Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Rose Hill, NC",NC,$15.45/h,"$32,136/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
67,Order Fulfillment Associate,Ohio Valley Logistics LLC,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Columbus, OH",OH,$20.64/h,"$42,931/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
68,Pizza Assembly Associate,Pizza Hut Express LLC,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Orlando, FL",FL,$16.58/h,"$34,486/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
69,Produce Sorting & Crop Worker,Phillips Mushroom Farms,Nông trại & Nhà kính (Agriculture/Greenhouse),"Kennett Square, PA",PA,$15.28/h,"$31,782/năm","Nặng (Cúi gập người, môi trường ẩm nóng)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,45-2092,"Hái nấm, thu hoạch rau củ trong nhà màng, cắt tỉa cành cây cảnh trong vườn ươm, phân loại nông sản xuất khẩu."
70,Packaging & Chilling Attendant,Pilgrim's Pride Corporation,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Gainesville, GA",GA,$16.74/h,"$34,819/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
71,Poultry Processing Line Worker,Case Farms Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Morganton, NC",NC,$17.52/h,"$36,441/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
72,Industrial Laundry Worker,Hospitality Linen Solutions,Giặt là công nghiệp (Commercial Laundry),"Orlando, FL",FL,$13.79/h,"$28,683/năm","Trung bình (Nóng bức, gấp khăn liên tục)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,51-6011,"Phân loại đồ vải y tế/khách sạn, nạp đồ vào máy giặt công nghiệp, tiếp nhận và gấp khăn ga tự động, đóng bọc đồ sạch."
73,Public Area Cleaner,Hilton Hotel & Resorts,Dọn phòng khách sạn (Housekeeping),"Las Vegas, NV",NV,$14.73/h,"$30,638/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
74,Mushroom Harvester / Picker,Sunwest Fruit Growers,Nông trại & Nhà kính (Agriculture/Greenhouse),"Fresno, CA",CA,$17.46/h,"$36,316/năm","Nặng (Cúi gập người, môi trường ẩm nóng)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,45-2092,"Hái nấm, thu hoạch rau củ trong nhà màng, cắt tỉa cành cây cảnh trong vườn ươm, phân loại nông sản xuất khẩu."
75,Food Preparation Worker,Golden Corral Buffet,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Richmond, VA",VA,$13.79/h,"$28,683/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
76,Commercial Cleaner,Southern Janitorial Services,Vệ sinh công nghiệp & Tòa nhà (Janitorial),"Jacksonville, FL",FL,$17.34/h,"$36,067/năm","Trung bình (Lau sàn, đổ rác, lau kính)",Không yêu cầu,Khá Cao (80-85%),37-2011,"Lau dọn sàn nhà xưởng, văn phòng, vệ sinh nhà vệ sinh công cộng, thu gom và ép rác thải, bảo trì vệ sinh tòa nhà."
77,Meat Cutter & Trimmer,George's Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Springdale, AR",AR,$20.12/h,"$41,849/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
78,Hand Packer & Material Sorter,Midwest Logistics Services,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Indianapolis, IN",IN,$16.95/h,"$35,256/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
79,Hand Packer & Material Sorter,Midwest Logistics Services,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Indianapolis, IN",IN,$17.00/h,"$35,360/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
80,Hand Packer & Material Sorter,Valley Produce Packaging,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fresno, CA",CA,$19.45/h,"$40,456/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
81,Public Area Cleaner,Hilton Hotel & Resorts,Dọn phòng khách sạn (Housekeeping),"Las Vegas, NV",NV,$16.78/h,"$34,902/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
82,Quality Sort Laborer,Pilgrim's Pride Corporation,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Gainesville, GA",GA,$15.28/h,"$31,782/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
83,Quality Sort Laborer,Koch Foods of Alabama,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Montgomery, AL",AL,$16.52/h,"$34,361/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
84,Industrial Floor Care Tech,CleanTech Building Services,Vệ sinh công nghiệp & Tòa nhà (Janitorial),"Houston, TX",TX,$17.86/h,"$37,148/năm","Trung bình (Lau sàn, đổ rác, lau kính)",Không yêu cầu,Khá Cao (80-85%),37-2011,"Lau dọn sàn nhà xưởng, văn phòng, vệ sinh nhà vệ sinh công cộng, thu gom và ép rác thải, bảo trì vệ sinh tòa nhà."
85,Linen Folder & Sorter,Hospitality Linen Solutions,Giặt là công nghiệp (Commercial Laundry),"Orlando, FL",FL,$14.15/h,"$29,432/năm","Trung bình (Nóng bức, gấp khăn liên tục)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,51-6011,"Phân loại đồ vải y tế/khách sạn, nạp đồ vào máy giặt công nghiệp, tiếp nhận và gấp khăn ga tự động, đóng bọc đồ sạch."
86,Evisceration Line Worker,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$18.88/h,"$39,270/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
87,Fast Food Crew Member,Subway Franchise Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Houston, TX",TX,$13.38/h,"$27,830/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
88,Hand Packer & Material Sorter,Ohio Valley Logistics LLC,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Columbus, OH",OH,$18.50/h,"$38,480/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
89,Evisceration Line Worker,Amick Farms LLC,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Batesburg, SC",SC,$18.04/h,"$37,523/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
90,Housekeeping Associate,Choice Hotels Franchise,Dọn phòng khách sạn (Housekeeping),"San Antonio, TX",TX,$14.23/h,"$29,598/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
91,Commercial Cleaner,Southern Janitorial Services,Vệ sinh công nghiệp & Tòa nhà (Janitorial),"Jacksonville, FL",FL,$18.49/h,"$38,459/năm","Trung bình (Lau sàn, đổ rác, lau kính)",Không yêu cầu,Khá Cao (80-85%),37-2011,"Lau dọn sàn nhà xưởng, văn phòng, vệ sinh nhà vệ sinh công cộng, thu gom và ép rác thải, bảo trì vệ sinh tòa nhà."
92,Live Hang Laborer,Wayne-Sanderson Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Laurel, MS",MS,$16.37/h,"$34,049/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
93,Meat Cutter & Trimmer,Case Farms Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Morganton, NC",NC,$19.29/h,"$40,123/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
94,Evisceration Line Worker,Koch Foods of Alabama,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Montgomery, AL",AL,$19.12/h,"$39,769/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
95,Quality Sort Laborer,Wayne-Sanderson Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Laurel, MS",MS,$15.89/h,"$33,051/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
96,Grill & Fry Station Cook,Burger King Northern Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Cleveland, OH",OH,$13.12/h,"$27,289/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
97,Field Agricultural Worker,Sunwest Fruit Growers,Nông trại & Nhà kính (Agriculture/Greenhouse),"Fresno, CA",CA,$17.11/h,"$35,588/năm","Nặng (Cúi gập người, môi trường ẩm nóng)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,45-2092,"Hái nấm, thu hoạch rau củ trong nhà màng, cắt tỉa cành cây cảnh trong vườn ươm, phân loại nông sản xuất khẩu."
98,Meat Cutter & Trimmer,Wayne-Sanderson Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Laurel, MS",MS,$15.88/h,"$33,030/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
99,Packaging & Chilling Attendant,Case Farms Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Morganton, NC",NC,$19.80/h,"$41,184/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
100,Hand Packer & Material Sorter,Georgia Distribution Center,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Macon, GA",GA,$16.60/h,"$34,528/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
